,0
756,30785.57091641958
757,21223.17207863338
758,21986.03359556805
759,31790.30824813995
760,28775.573254661158
761,31129.759813396442
762,24788.41320635894
763,19918.784301428394
764,18505.274585559913
765,22453.70668058299
766,23926.659993377005
767,25882.306975100902
768,26968.589194354823
769,19134.2235050704
770,20933.977095003793
771,30669.981545621646
772,29228.344154659688
773,32339.786303992583
774,29931.93677919612
775,21086.932442911533
776,22626.605622574567
777,31955.392061707636
778,30109.972715554457
779,32671.479768038873
780,29544.667209514686
781,21274.85626795103
782,20955.201892858357
783,28277.209372537007
784,27427.440730277995
785,30124.045131944808
786,28698.778990004324
787,21079.599635421553
788,20141.15272087175
789,25879.740076537593
790,26295.493085037586
791,28633.381801570213
792,28739.00443951672
793,20425.62880514379
794,22208.567801612164
795,32752.30770626553
796,30325.91064267849
797,33553.93338241483
798,30530.65450181434
799,21021.471028544285
800,21531.64953508842
801,31066.60155440864
802,28398.203934120767
803,31835.72291023991
804,25866.853788593595
805,21223.17207863338
806,19219.728340016194
807,21321.333227054005
808,24579.695639685233
809,26966.203242223914
810,27063.54629745541
811,19226.574966278822
812,22304.24733261474
813,32787.215441493616
814,31758.59693288758
815,34057.31704538548
816,30460.06986072006
817,22598.62554421732
818,23901.623809972414
819,32785.8911405175
820,30091.356046112687
821,32675.92146308531
822,29610.398692752733
823,22292.778045851206
824,21598.55016569416
825,29853.93279748799
826,28795.32104376464
827,30918.47479042624
828,29636.20860877771
829,21791.224760614983
830,20933.977095003793
831,26988.96558104154
832,27872.412006846866
833,28448.839007289433
834,28318.46444815964
835,20916.792320596418
836,20381.734882911802
837,24546.80418157855
838,24436.137305828233
839,26908.57477287022
840,28220.298708169827
841,21375.93017934788
842,24767.085226297415
843,34576.917644171335
844,32287.17424418804
845,35414.1565718971
846,31366.796053969636
847,22833.052440923653
848,26410.79527053201
849,34962.368762010694
850,32021.62771251826
851,35517.88871272826
852,31593.459866278125
853,23206.74080929103
854,26921.97082896525
855,34934.705974459124
856,32293.431591859564
857,35800.80844270017
858,31960.092794279553
859,23588.522060571144
860,26876.290581784382
861,35413.511696249974
862,33093.89839762555
863,35419.058225483306
864,31728.788393990108
865,23206.74080929103
866,23128.392788524834
867,30831.95313781445
868,29662.82895891182
869,31328.9189337467
870,30303.624279717387
871,22071.79998633326
872,21330.336639497862
873,27566.73085982431
874,27538.31556600945
875,29888.09169815705
876,29766.38752968261
877,21598.55016569416
878,26410.79527053201
879,35766.19548713793
880,34153.66466014445
881,36554.3667857902
882,32503.88049440073
883,24113.99293716545
884,26993.567406799113
885,36121.274665205245
886,33823.716715117225
887,36564.452317275165
888,32642.76517549735
889,23588.522060571144
890,27144.35524890637
891,35868.66203539208
892,33781.283432595206
893,36188.03740747388
894,32508.88112265203
895,23588.522060571144
896,26966.203242223914
897,35674.38102226387
898,33823.716715117225
899,36121.497582635326
900,32473.789070541123
901,23820.75009675041
902,27186.989587451084
903,35726.5548751679
904,33790.98359429982
905,35568.60893232082
906,32165.111607202525
907,23854.635527659575
908,23277.470041011125
909,31811.97296510422
910,30487.074037913233
911,31845.083198498232
912,30168.14962997094
913,22149.30374891379
914,21471.976277925845
915,27698.62415592808
916,28192.13760566124
917,30070.976563609416
918,30728.020277624604
919,22292.778045851206
920,26417.575511942297
921,36932.690927770105
922,35022.06846285172
923,36992.081959740506
924,33458.18898704581
925,24328.766653508832
926,28094.425707175593
927,37462.05238633967
928,34768.91154921084
929,37497.368081876404
930,33528.96902255487
931,24423.84144421195
932,28044.397177120973
933,36531.48339926922
934,34779.32480421512
935,36927.78376830639
936,33597.01839477619
937,24426.81348177458
938,27255.138327268513
939,36118.54306950899
940,33367.00693344928
941,36124.51053477271
942,33110.71556994409
943,23922.227375311035
944,27576.53705050906
945,36531.48339926922
946,33532.52919705678
947,35484.48197892201
948,32856.97863649052
949,23854.635527659575
950,23167.476917587897
951,31783.86233861352
952,29605.913342064643
953,30626.86701870351
954,29978.614169050907
955,22149.30374891379
956,21330.336639497862
957,26988.96558104154
958,26580.930915207882
959,28671.551431029464
960,29598.79207719287
961,21476.160694204915
962,26410.79527053201
963,35345.265535498744
964,33376.613894738664
965,35542.53987518924
966,32175.929167630202
967,23820.75009675041
968,27576.53705050906
969,36253.58330464105
970,34714.22779879874
971,36844.745744357475
972,33346.05490063444
973,24175.832599160614
974,28045.766368365534
975,36102.90045331159
976,33367.00693344928
977,36121.497582635326
978,32933.97822764448
979,24172.9379155087
980,27566.49703226781
981,36173.125489379876
982,34153.66466014445
